,Accuracy,Precision,Recall,F-Score
.\Datasets\Jamendo\_1.00_vocal.h5,0.932552083,0.920332356,0.951490652,0.935652174
,,,,
.\Datasets\Jamendo\_1.00_normal.h5,0.720052083,0.714624881,0.760485093,0.736842105
,,,,
.\Datasets\Electrobyte\_1.00_vocal.h5,0.809715435,0.751706037,0.883405305,0.812251843
,,,,
.\Datasets\Electrobyte\_1.00_normal.h5,0.802529462,0.771511628,0.818630475,0.794372942
,,,,
.\Datasets\Fusion\_1.00_vocal.h5,0.885845987,0.817711328,0.931847969,0.871056662
,,,,
.\Datasets\Fusion\_1.00_normal.h5,0.75813449,0.671351351,0.813892529,0.735781991
