,Accuracy,Precision,Recall,F1-Measure
5,0.818264662,0.788155492,0.838002774,0.812315138
6,0.81723135,0.779346325,0.85132417,0.813746696
7,0.826207406,0.796629005,0.845821042,0.820488363
8,0.830630631,0.801023672,0.849581543,0.824588364
9,0.822666025,0.792803671,0.842010772,0.816666667
10,0.823584779,0.783903841,0.860832138,0.820568928
11,0.822146153,0.789364845,0.847178186,0.817250344
12,0.823769822,0.783391222,0.863557257,0.821523179
13,0.835826211,0.806785714,0.855681818,0.830514706
14,0.835881556,0.802611367,0.862211221,0.831344471
15,0.824093372,0.796030405,0.839269813,0.817078457
16,0.832737829,0.793406593,0.866122841,0.828171599
17,0.835806606,0.81439206,0.840245776,0.827116935
18,0.828651685,0.782926829,0.87657018,0.827106416
19,0.834777898,0.806239737,0.851937536,0.828458943
20,0.833860305,0.793142215,0.870450339,0.83
21,0.837279903,0.805951643,0.853578464,0.829081633
22,0.833811802,0.793233083,0.868908717,0.829348182
23,0.834452653,0.824945295,0.817196532,0.821052632
24,0.835973249,0.799300699,0.864599092,0.830668605
25,0.846866889,0.818812645,0.856451613,0.837209302
26,0.834621329,0.797987616,0.860601002,0.82811245
27,0.831042846,0.794285714,0.854258121,0.823181049
28,0.836639932,0.799316823,0.860294118,0.828685259
29,0.849188952,0.819090909,0.861376673,0.839701771
